lambda_n,n,lambda_k,k,alpha,Optical characterization and bandgap engineering of flat and wrinkle-textured FA0.83Cs0.17Pb(I1–xBrx)3 perovskite thin films https://doi.org/10.1063/1.5025728
192.13,1.784,198.641,0.496,326800.0,
196.331,1.76,199.517,0.544,356700.0,
200.64,1.769,200.372,0.57,372100.0,
204.949,1.788,201.214,0.597,388500.0,
209.257,1.801,202.883,0.622,401100.0,
213.566,1.799,205.394,0.652,415300.0,
217.875,1.78,206.47,0.673,426300.0,
222.184,1.753,210.775,0.693,429700.0,
226.493,1.728,215.352,0.677,410400.0,
230.802,1.694,217.949,0.652,390100.0,
234.572,1.68,221.572,0.634,372900.0,
241.574,1.659,223.688,0.605,352300.0,
245.883,1.656,226.558,0.587,337600.0,
250.192,1.659,231.58,0.565,317300.0,
254.501,1.661,235.884,0.564,310900.0,
258.809,1.661,239.83,0.568,308000.0,
263.118,1.664,242.496,0.582,311800.0,
267.427,1.66,246.645,0.593,312300.0,
271.736,1.662,250.591,0.607,314600.0,
276.045,1.659,256.33000000000004,0.627,317200.0,
280.354,1.661,262.78700000000003,0.645,318200.0,
284.663,1.664,269.602,0.664,319100.0,
288.971,1.663,273.835,0.673,318200.0,
293.28,1.671,278.211,0.693,322100.0,
297.589,1.684,282.515,0.703,321700.0,
300.821,1.693,286.82,0.728,328300.0,
305.397,1.704,291.124,0.742,329400.0,
306.575,1.715,295.19,0.758,331700.0,
310.108,1.73,299.016,0.794,342700.0,
312.463,1.749,303.32,0.811,344900.0,
314.968,1.773,306.548,0.82,345200.0,
318.351,1.803,309.657,0.846,352600.0,
320.943,1.828,312.288,0.873,360600.0,
323.73,1.86,315.516,0.903,368900.0,
326.595,1.884,320.036,0.926,372700.0,
328.656,1.907,323.363,0.946,376800.0,
331.305,1.933,326.19,0.965,380900.0,
333.366,1.959,327.887,0.987,387700.0,
335.133,1.985,329.864,1.005,392400.0,
338.371,2.021,333.81,1.023,394600.0,
339.601,2.056,338.832,1.042,395900.0,
342.493,2.083,342.777,1.043,391400.0,
344.987,2.119,346.826,1.038,385000.0,
348.757,2.151,351.438,1.034,378400.0,
